the_exodus                           ,"   The Exodus                           ","  Exodus 12:31-51          ",Exodus 12:31-51
the_red_sea                          ,"   The Red Sea                          ","  Exodus 14:5-31           ",Exodus 14:5-31
the_gold_calf                        ,"   The Gold Calf                        ","  Exodus 32:1-29           ",Exodus 32:1-29
exploring_the_land                   ,"   Exploring the Land                   ","  Numbers 13:1-14:38       ",Numbers 13:1-14:38
rebellion_in_the_ranks               ,"   Rebellion in the Ranks               ","  Numbers 16:1-17:13       ",Numbers 16:1-17:13
balak_and_balaam                     ,"   Balak and Balaam                     ","  Numbers 22:1-24:25       ",Numbers 22:1-24:25
rahab_and_the_spies                  ,"   Rahab and the Spies                  ","  Joshua 2:1-24            ",Joshua 2:1-24
jericho_falls                        ,"   Jericho Falls                        ","  Joshua 6:1-27            ",Joshua 6:1-27
gibeons_con_artists                  ,"   Gibeon's Con Artists                 ","  Joshua 9:1-27            ",Joshua 9:1-27
deborah_and_barak                    ,"   Deborah and Barak                    ","  Judges 4:1-24            ",Judges 4:1-24
gideon_as_judge                      ,"   Gideon as Judge                      ","  Judges 6:1-7:25          ",Judges 6:1-7:25
abimelechs_ambition                  ,"   Abimelech's Ambition                 ","  Judges 9:1-57            ",Judges 9:1-57
samson_as_judge                      ,"   Samson as Judge                      ","  Judges 13:1-16:31        ",Judges 13:1-16:31
ruth_naomi_and_boaz                  ,"   Ruth, Naomi and Boaz                 ","  Ruth 1:1-4:22            ",Ruth 1:1-4:22
samuel_is_born                       ,"   Samuel is Born                       ","  1 Samuel 1:1-28          ",1 Samuel 1:1-28
samuel_the_prophet                   ,"   Samuel the Prophet                   ","  1 Samuel 3:1-4:22        ",1 Samuel 3:1-4:22
saul_becomes_king                    ,"   Saul Becomes King                    ","  1 Samuel 9:1-10:27       ",1 Samuel 9:1-10:27
jonathans_bravery                    ,"   Jonathan's Bravery                   ","  1 Samuel 14:1-46         ",1 Samuel 14:1-46
sauls_disobedience                   ,"   Saul's Disobedience                  ","  1 Samuel 15:1-35         ",1 Samuel 15:1-35
david_kills_goliath                  ,"   David Kills Goliath                  ","  1 Samuel 17:1-51         ",1 Samuel 17:1-51
david_and_jonathan                   ,"   David and Jonathan                   ","  1 Samuel 18:1-4, 20:1-42 ","1 Samuel 18:1-4, 20:1-42"
nabal_and_abigail                    ,"   Nabal and Abigail                    ","  1 Samuel 25:1-44         ",1 Samuel 25:1-44
sauls_death                          ,"   Saul's Death                         ","  1 Samuel 28:1-25, 30:1-13","1 Samuel 28:1-25, 30:1-13"
davids_success                       ,"   David's Success                      ","  2 Samuel 5:1-6:23        ",2 Samuel 5:1-6:23
david_and_bathsheba                  ,"   David and Bathsheba                  ","  2 Samuel 11:1-12:25      ",2 Samuel 11:1-12:25
amnon_and_tamar                      ,"   Amnon and Tamar                      ","  2 Samuel 13:1-22         ",2 Samuel 13:1-22
absalom                              ,"   Absalom                              ","  2 Samuel 13:23-19:8      ",2 Samuel 13:23-19:8
solomons_wisdom                      ,"   Solomon's Wisdom                     ","  1 Kings 3:1-28           ",1 Kings 3:1-28
